episode,nick_name,comments,like,dislike,ripple,date
0,쿠쿠,모야 나만 모르는 거 같은데 다들 왜 반기는 분위기지재밌어보이긴 한다,575,51,15,2018-08-16 00:56:02
0,렉,퍼펙트 게임 연재하신 분이라서요 b,,,,2018-08-16 14:44:43
0,Human,퍼펙트게임 꼭 보세요 두번보세요.,,,,2018-08-16 15:05:37
0,콰지모도,장이 작가니까요.,,,,2018-08-16 20:50:26
0,relife ace영민,퍼펙트게임 꼭 보세요  세번 보세요.^^ㅋㅋ,,,,2018-08-17 16:41:02
0,비비안나,아....글쿤..ㅎㅎㅎ,,,,2018-08-23 07:00:03
0,교양있게코파기,ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ 퍼펙트게임 보시면 아 하 그러실 것임,,,,2018-08-23 11:18:06
0,박민수,왜 파동은 아무도 말안해주나여ㅠ,,,,2018-08-30 00:37:13
0,김정훈,대단하시거든요ㅎ,,,,2018-09-03 19:37:46
0,커피토끼,미확인거주물체도!! 장이님 작품은 다재밌습니다!,,,,2018-09-06 09:52:08
0,붉은쫑사,차차 알아가세요 ㅋㅋ,,,,2018-10-18 16:44:31
0,강동화,파동은 웹툰계의 대작입니다ㅋㅋㅋ파동 꼭보세요 긴장감 줄줄 흐름,,,,2018-12-06 10:24:03
0,Max,이제 왜 다들 반겼는지 아시겠지요?,,,,2019-10-17 15:09:18
0,웹툰마스터,작가가 좋아 ㅋㅋ,,,,2020-10-13 00:22:11
0,김지은,이거 드라마로 나온거 아녜요??,,,,2020-12-08 20:26:21
0,내 캐쉬 돌려 놔,지은님 이거 웹툰으로 2018년도에 나온거고 그때 반긴 이유는 장이님 작가님 작품들이 너무 좋아서...,,,,2020-12-15 19:51:13
0,Hrdkorea,헐 다음의 제 최애 작가님 귀환~,335,240,1,2018-08-16 00:36:19
0,김지은,이게 왜 스포일러쥬..?,,,,2020-12-08 20:26:48
0,쥬얼리정,장이님...???,274,23,3,2018-08-16 00:06:36
0,웃어라 케이스께,레전장이님 오심!!,,,,2018-08-16 07:23:11
0,찌노,ㅋㅋㅋㅋㅋ 저도 보고 이 말햇어욬ㅋㅋㅋㅋ,,,,2018-08-23 01:06:14
0,산이요...,ㅋㅋㅋㅋㅋ 똑같은 말을 했어여,,,,2018-08-23 07:21:47
0,품바52,오셨다 그분이 오셨다!!!,207,12,2,2018-08-16 00:10:39
